row_id	label	notes	repo	member	comment	member_source
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.begin(HttpRequest)			http-servers	NettyRequestGate.begin(HttpRequest)	Puts `request` in flight and takes its persistence inputs. A head the codec could not parse is framed as HTTP/1.1 whatever version it names: for a request line that never parsed the codec hands over an invented `HTTP/1.0` stand-in, and keyed on that version the close the controller's 400 carries would be made implicit — the header removed — where RFC 9112 §9.6 has it signalled; every response here is HTTP/1.1 in any case.	  private void begin(final HttpRequest request) {     inFlight = true;     bodyComplete = false;     requestVersion = request.decoderResult().isFailure()         ? HttpVersion.HTTP_1_1         : request.protocolVersion();     requestKeepAlive = HttpUtil.isKeepAlive(request);   }
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyRequestGate.java#NettyRequestGate.refusal(HttpRequest)			http-servers	NettyRequestGate.refusal(HttpRequest)	The status a head's expectation is refused with, or null when nothing here refuses it: the rule Netty's aggregator applies (`HttpUtil.isUnsupportedExpectation`, which is not public, then `is100ContinueExpected` against the declared length), except that a malformed head is left to the controller's `400`.	  private HttpResponseStatus refusal(final HttpRequest head) {     final var expect = head.headers().get(HttpHeaderNames.EXPECT);     if (expect == null         || head.decoderResult().isFailure()         || head.protocolVersion().compareTo(HttpVersion.HTTP_1_1) < 0) {       return null;     }     if (!HttpHeaderValues.CONTINUE.contentEqualsIgnoreCase(expect)) {       return HttpResponseStatus.EXPECTATION_FAILED;     }     return HttpUtil.getContentLength(head, -1L) > maxContentLength         ? HttpResponseStatus.REQUEST_ENTITY_TOO_LARGE         : null;   }
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Abuser.java#Abuser.CYCLE			http-servers	Abuser.CYCLE	The cases the cycle runs; [Case#IDLE] is the [IdleProber]'s.	  static final Case[] CYCLE = {       Case.OVERSIZED, Case.EXPECT_UNSUPPORTED, Case.EXPECT_CONTINUE_OVER_CAP, Case.MALFORMED_LINE,       Case.HTTP10, Case.ABORT_MID_BODY, Case.ABSOLUTE_FORM, Case.NO_HOST   };
http-servers#http-servers-soak/src/main/java/software/sava/http_servers/soak/Pipeliner.java#Pipeliner.closeIndex(int)			http-servers	Pipeliner.closeIndex(int)	-1 for no close, `size - 1` one time in eight, and one time in eight an index with at least one request pipelined behind it.	  private int closeIndex(final int size) {     final int roll = rnd.nextInt(8);     if (roll == 0) {       return size - 1;     }     if (roll == 1) {       return rnd.nextInt(size - 1);     }     return -1;   }
incident-client#incident-io/src/main/java/software/sava/incident/io/CreateIncidentResponseRecord.java#CreateIncidentResponseRecord$Parser.parseIdName(JsonIterator)			incident-client	CreateIncidentResponseRecord$Parser.parseIdName(JsonIterator)	Shared holder for the `{id, name}` and `{id, title}` actor shapes.	    private static final class IdName {        private String id;       private String name;     }      private IdName parseIdName(final JsonIterator ji) {       final var p = new IdName();       ji.testObject(ID_NAME_FIELDS, (field, ji1) -> {         switch (field) {           case 0 -> p.id = ji1.readString();           case 1 -> p.name = ji1.readString();           default -> ji1.skip();         }         return true;       });       return p;     }
incident-client#incident-io/src/main/java/software/sava/incident/io/exceptions/IncidentIoRequestException.java#IncidentIoRequestException.errorCode()			incident-client	IncidentIoRequestException.errorCode()	The `status` field of the error envelope, typically echoing the HTTP status code.	  @Override   public long errorCode() {     return errorCode;   }
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookClient.java#WebhookClient$Builder.header(String, String)			incident-client	WebhookClient$Builder.header(String, String)	Sets a static <METHOD> on every request, for receivers that authenticate by <METHOD> rather than by URL. Setting the same name again replaces the value.	    public Builder header(final String name, final String value) {       headers.put(name, value);       return this;     }
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/config/WebhookConfig.java#WebhookConfig.headers()			incident-client	WebhookConfig.headers()	Static request <METHOD>: properties sorted by header name, JSON in document order.	  public Map<String, String> headers() {     return headers;   }
incident-client#incident-webhook/src/main/java/software/sava/incident/webhook/exceptions/WebhookRequestException.java#WebhookRequestException.body()			incident-client	WebhookRequestException.body()	The raw response <METHOD>, decoded as UTF-8; empty when the response had none.	  public String body() {     return body;   }
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/BaseJsonIterator.java#BaseJsonIterator.intDigit(int)			json-iterator	BaseJsonIterator.intDigit(int)	Digit resolution takes the raw source value: a signed byte is negative for multibyte content and a char is unbounded, so this must range-check rather than index a table.	  static int intDigit(final int c) {     final int digit = c - '0';     return digit >= 0 && digit <= 9 ? digit : INVALID_CHAR_FOR_NUMBER;   }
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readByteArray(byte[])			json-iterator	JsonIterator.readByteArray(byte[])	Fills `into` from an array of numbers, narrowing each element via readInt, and returns the number of elements read — for fixed-size targets such as 32-byte keys. Elements beyond `into.length` throw [ArrayIndexOutOfBoundsException] with the iterator mid-array.	  default int readByteArray(final byte[] into) {     int i = 0;     while (readArray()) {       into[i++] = (byte) readInt();     }     return i;   }
json-iterator#json-iterator/src/main/java/systems/comodal/jsoniter/ValueType.java#ValueType.of(char)			json-iterator	ValueType.of(char)	The table covers the byte range; a chars source can peek any char, and anything past the table is by definition not a value-leading token.	  static ValueType of(final char c) {     return c < VALUE_TYPES.length ? VALUE_TYPES[c] : INVALID;   }
