row_id	label	notes	module	rung	member	status	control_flags	bullet	method_source_head
sava/sava-core#114#AccountMetaReadOnlySigner.merge	present	Body shows the `accountMeta.feePayer()` guard returning accountMeta and, below it, the ternary that tests `accountMeta.write()` then `accountMeta.signer()` returning accountMeta or a new AccountMetaSignerWriter. Every construct the note names (feePayer guard, signer branch, the ternary returning the	sava/sava-core	3	AccountMetaReadOnlySigner.merge	RESOLVED		- `AccountMetaWrite.merge` line 18 and `AccountMetaReadOnlySigner.merge` line 18: the `accountMeta.feePayer()` guard is subsumed by the `signer()` branch below it, because a fee payer is also a signer *and* writable, so the ternary there returns the same argument the guard would have.	// AccountMetaReadOnlySigner lines 16-24   @Override   public AccountMeta merge(final AccountMeta accountMeta) {     if (accountMeta.feePayer()) {       return accountMeta;     }     return accountMeta.write()         ? accountMeta.signer() ? accountMeta : new AccountMetaSignerWriter(publicKey)     
sava/sava-core#114#AccountMetaWrite.merge	present	Body shows the `accountMeta.feePayer()` guard and a later `accountMeta.signer()` branch with the `accountMeta.write() ? accountMeta : new AccountMetaSignerWriter(publicKey)` ternary, exactly the constructs the note names. The extra `invoked()` branch in between does not contradict the note's claims.	sava/sava-core	3	AccountMetaWrite.merge	RESOLVED		- `AccountMetaWrite.merge` line 18 and `AccountMetaReadOnlySigner.merge` line 18: the `accountMeta.feePayer()` guard is subsumed by the `signer()` branch below it, because a fee payer is also a signer *and* writable, so the ternary there returns the same argument the guard would have.	// AccountMetaWrite lines 16-33   @Override   public AccountMeta merge(final AccountMeta accountMeta) {     if (accountMeta.feePayer()) {       return accountMeta;     }     // an account that is written by one instruction and invoked as the program of     // another arrives here, because Instructio
sava/sava-core#231#Transaction.exceedsSizeLimit	cannot	The interface default is shown, but the note's load-bearing constructs — the TransactionRecord override that shadows it and the `exceedsSizeLimitBoundary` test pinning 1232/1233 — are in code that is not shown (both flagged identifier_missing, sibling_source null). Presence of the override/test cann	sava/sava-core	3	Transaction.exceedsSizeLimit	RESOLVED	identifier_missing:TransactionRecord identifier_missing:exceedsSizeLimitBoundary	- `Transaction.exceedsSizeLimit` line 652 (4 NC keys): the interface default is overridden by `TransactionRecord`, the only implementation — structurally unreachable. The record's own boundary is pinned by `exceedsSizeLimitBoundary` at exactly 1232/1233 bytes.	// Transaction lines 908-910   default boolean exceedsSizeLimit() {     return size() > TxBuilderImpl.MAX_SERIALIZED_LENGTH_LEGACY;   }
sava/sava-core#235#TransactionRecord.setBlockHash	absent	control_flags member_missing: `setBlockHash` is no longer declared in TransactionRecord at HEAD (now declared by BaseTransaction/Transaction). The note's `instanceof TransactionRecord` check and the else-branch routing through `setRecentBlockHash` have moved out of the code shown, so the named const	sava/sava-core	3	TransactionRecord.setBlockHash	MOVED_MEMBER	member_missing	- `TransactionRecord.setBlockHash` 224/231: `instanceof TransactionRecord` is always true (single implementation); the mutated else-branch routes through the public `setRecentBlockHash` with identical bytes, and the unmutated else-branch line is unreachable (NC).	// `setBlockHash` is not declared in TransactionRecord at HEAD (now declared by [BaseTransaction, Transaction]). Members declared now: //   static final int MSG_HEADER_LENGTH = 3 //   static final int VERSIONED_MSG_HEADER_LENGTH = 1 + MSG_HEADER_LENGTH //   static final int BASE_LOOKUP_TABLE_LEN = P
sava/sava-core#241#Transaction.createTx	cannot	The note cites line 386 and names a single-table shortcut versus a generic multi-table path, but only the two createTx bodies at lines 39-50 are shown (2 of 22 declarations). The body containing those paths is not displayed, so neither the shortcut nor the multi-table path can be checked.	sava/sava-core	3	Transaction.createTx	RESOLVED		- `Transaction.createTx` 386: one table meta forced through the generic multi-table path builds the same transaction the single-table shortcut does.	// Transaction lines 39-41   static Transaction createTx(final PublicKey feePayer, final List<Instruction> instructions) {     return createTx(feePayer == null ? null : AccountMeta.createFeePayer(feePayer), instructions);   }  // Transaction lines 46-50   static Transaction createTx(final AccountMet
sava/sava-core#244#Transaction.createTx	cannot	The note names a filtered table serializer and a direct loop at line 494, and asserts byte-identical output. Only the createTx bodies at lines 39-50 are shown, so the serializer, the loop, and the byte-equality claim are all outside the displayed code.	sava/sava-core	3	Transaction.createTx	RESOLVED		- `Transaction.createTx` 494: when every table has indexed accounts, the filtered table serializer emits the same bytes as the direct loop.	// Transaction lines 39-41   static Transaction createTx(final PublicKey feePayer, final List<Instruction> instructions) {     return createTx(feePayer == null ? null : AccountMeta.createFeePayer(feePayer), instructions);   }  // Transaction lines 46-50   static Transaction createTx(final AccountMet
sava/sava-core#246#InstructionRecord.extraAccounts	present	The shown body has both constructs the note contrasts: the one-account fast path (`numAccounts == 1` returning `extraAccount(accounts.getFirst())`) and the general join path allocating the `joined` array and building a new InstructionRecord. Nothing shown contradicts the note.	sava/sava-core	3	InstructionRecord.extraAccounts	RESOLVED		- `InstructionRecord.extraAccounts` 27: a one-account list through the general join path yields an equal record; only the allocation differs.	// InstructionRecord lines 22-39   @Override   public Instruction extraAccounts(final List<AccountMeta> accounts) {     final int numAccounts = accounts.size();     if (numAccounts == 0) {       return this;     } else if (numAccounts == 1) {       return extraAccount(accounts.getFirst());     }    
sava/sava-core#248#TransactionRecord.sign	absent	control_flags member_missing: `sign` is not declared in TransactionRecord at HEAD (now declared by BaseTransaction/KeyPairSigner/Signer/Transaction). The multi-signer scan and the single-signer fast path the note names have moved out of the code shown.	sava/sava-core	3	TransactionRecord.sign	MOVED_MEMBER	member_missing	- `TransactionRecord.sign` 154: the multi-signer scan resolves a single signer to the same slot the fast path uses.	// `sign` is not declared in TransactionRecord at HEAD (now declared by [BaseTransaction, KeyPairSigner, Signer, Transaction]). Members declared now: //   static final int MSG_HEADER_LENGTH = 3 //   static final int VERSIONED_MSG_HEADER_LENGTH = 1 + MSG_HEADER_LENGTH //   static final int BASE_LOOKU
sava/sava-core#260#Transaction.createTx	cannot	The note names a multi-table compaction arraycopy, a single-table arraycopy, and capture via `addAccountIfExists` at line 432; none of that code is displayed (only the lines 39-50 bodies), and `addAccountIfExists` is flagged identifier_missing from what is shown. Presence cannot be decided.	sava/sava-core	3	Transaction.createTx	RESOLVED	identifier_missing:addAccountIfExists	- `Transaction.createTx` 432: the multi-table compaction arraycopy shifts tail slots that hold already-consumed indexed accounts (captured inside the table metas via `addAccountIfExists`); only the front assignment is ever read back. The single-table path's identical-looking arraycopy is load-bearing — its tail feeds lookup-index serialization — and its removal mutant dies.	// Transaction lines 39-41   static Transaction createTx(final PublicKey feePayer, final List<Instruction> instructions) {     return createTx(feePayer == null ? null : AccountMeta.createFeePayer(feePayer), instructions);   }  // Transaction lines 46-50   static Transaction createTx(final AccountMet
sava/sava-core#266#InstructionRecord.equals	present	The shown body contains both named constructs: the `ix.len == len` fast-path equality and the ranged `Arrays.equals(ix.data, ix.offset, ix.offset + ix.len, data, offset, offset + len)`. premise_facts confirms `len` is present and nothing shown contradicts the note.	sava/sava-core	3	InstructionRecord.equals	RESOLVED		- `InstructionRecord.equals` 171: the `len` equality is a fast path; the ranged `Arrays.equals` re-checks range lengths, so no input can pass one and fail the other.	// InstructionRecord lines 168-178   @Override   public boolean equals(final Object o) {     if (o instanceof InstructionRecord ix) {       return ix.len == len           && programId.equals(ix.programId)           && accounts.equals(ix.accounts)           && Arrays.equals(ix.data, ix.offset, ix.off
