row_id	label	notes	module	row	mutator_description	paragraph_head	member_head
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#ConditionalsBoundaryMutator#SURVIVED#259	mis-filed	The paragraph argues about null-state rechecks (globalConfigUpdate/assetMetaMap == null). This operator only mutates an ordering comparison, and the body's sole such comparison is `remainingNanos <= 0` on line 259 (the await-deadline guard, 247+12), which the paragraph's null-recheck reasoning never	glam-sdk-java/services	systems.glam.services.state.GlobalConfigCacheImpl,run,ConditionalsBoundaryMutator,SURVIVED # race-guard family # line 259	changed a conditional boundary: < became <= or <= became <, > became >= or >= became >	- `# race-guard family` — the `GlobalConfigCacheImpl` variant of the above (null-state rechecks between an unlock and the write lock).	// GlobalConfigCacheImpl lines 247-273   @Override   public void run() {     try {       for (long remainingNanos; ; ) {         accountFetcher.priorityQueue(globalConfigKey, this);         writeLock.lock();         try {           forceRefresh = false;           for (remainingNanos = fetchDelayNanos; ; ) {             remainingNanos = invalidGlobalConfig.awaitNanos(remainingNanos);             if …
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#259	mis-filed	Same wrong-branch problem: the operator forces the ordering conditional `remainingNanos <= 0 || forceRefresh` to false (the loop's timing/break guard), while the paragraph's argument is about null-state rechecks between an unlock and the write lock. The reasoning does not address a timeout-condition	glam-sdk-java/services	systems.glam.services.state.GlobalConfigCacheImpl,run,RemoveConditionalMutator_ORDER_ELSE,SURVIVED # race-guard family # line 259	removed an ordering conditional (<, <=, >, >=) by replacing it with false, so the if-branch never runs	- `# race-guard family` — the `GlobalConfigCacheImpl` variant of the above (null-state rechecks between an unlock and the write lock).	// GlobalConfigCacheImpl lines 247-273   @Override   public void run() {     try {       for (long remainingNanos; ; ) {         accountFetcher.priorityQueue(globalConfigKey, this);         writeLock.lock();         try {           forceRefresh = false;           for (remainingNanos = fetchDelayNanos; ; ) {             remainingNanos = invalidGlobalConfig.awaitNanos(remainingNanos);             if …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#ConditionalsBoundaryMutator#SURVIVED#69	mis-filed	The paragraph excuses unobservable durability calls (force()/close()). This mutant instead widens `i < lastElementOffset` (line 69 = 51+18, the swap-in-last-entry guard) to `<=`, a control-flow boundary change that decides whether the last entry is copied over the deleted slot. Nothing in the durabi	glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,ConditionalsBoundaryMutator,SURVIVED # durability unobservable # line 69	changed a conditional boundary: < became <= or <= became <, > became >= or >= became >	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#PrimitiveReturnsMutator#SURVIVED#57	mis-filed	Line 57 is `return 0;` in the empty-file early exit, and the operator replaces a primitive return with 0 (here an equivalent mutant). The paragraph's claim about force()/close() durability being invisible to in-process assertions says nothing about a return-value replacement.	glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,PrimitiveReturnsMutator,SURVIVED # durability unobservable # line 57	replaced a primitive return value with 0	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#56	mis-filed	This removes the `fileSize == 0` equality guard so the empty-file early return never runs. The paragraph argues only that durability calls are unobservable; it does not address removing an emptiness guard, which is a different kind of mutation on a different construct.	glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,RemoveConditionalMutator_EQUAL_ELSE,SURVIVED # durability unobservable # line 56	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#RemoveConditionalMutator_ORDER_IF#SURVIVED#69	mis-filed	Forces `i < lastElementOffset` to true so the last-entry swap always executes. That is a branch-removal on a copy guard, not a durability call; the force()/close() reasoning in the paragraph does not apply to it.	glam-sdk-java/services	systems.glam.services.io.KeyedFlatFileImpl,deleteEntry,RemoveConditionalMutator_ORDER_IF,SURVIVED # durability unobservable # line 69	removed an ordering conditional (<, <=, >, >=) by replacing it with true, so the if-branch always runs	- `# durability unobservable` — `force()`/`close()` durability calls no in-process assertion can see.	// KeyedFlatFileImpl lines 51-94   @Override   public int deleteEntry(final byte[] key, final E removed) {     lock.lock();     try {       long fileSize = fileChannel.size();       if (fileSize == 0) {         return 0;       }        final var mappedBuffer = fileChannel.map(FileChannel.MapMode.READ_WRITE, 0, fileSize);        int numRemoved = 0;       final byte[] keyBytes = new byte[key.length] …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#NullReturnValsMutator#NO_COVERAGE#184	fine	Line 184 is the final `return new SingleAssetFulfillmentServiceEntrypoint(...)`. The paragraph's argument, that this config-driven bootstrap has no injection seam so nothing can drive it, explains a NO_COVERAGE mutant anywhere in this method, including a nulled return. It names config loading and wi	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,NullReturnValsMutator,NO_COVERAGE # seamless bootstrap # line 184	replaced a return value with null	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#112	fine	Line 112 is `if (accountInfo != null) {` inside the accounts-needed loop. The no-seam / NO_COVERAGE reasoning applies to any mutation in this unreachable bootstrap method, and the guard the mutation targets is present in the source.	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # seamless bootstrap # line 112	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#121	fine	Line 121 is `if (!validateDelegatePermissions(...)) {`, which is still in the source. The paragraph's seam argument covers why no test exercises this branch, so the reasoning addresses this change in this member and names nothing absent.	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE # seamless bootstrap # line 121	removed an equality conditional (== or !=) by replacing it with false, so the if-branch never runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#112	fine	Same site as the ELSE variant (`accountInfo != null`), forced true instead. The untestable-bootstrap argument applies equally, and every construct the paragraph mentions is present.	glam-sdk-java/services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint,createService,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE # seamless bootstrap # line 112	removed an equality conditional (== or !=) by replacing it with true, so the if-branch always runs	- `# seamless bootstrap` — the fulfillment entrypoint's config-driven wiring with no injection seam; escape is a seam refactor.	// SingleAssetFulfillmentServiceEntrypoint lines 56-185   private static SingleAssetFulfillmentServiceEntrypoint createService(final ExecutorService taskExecutor,                                                                        final HttpClient httpClient,                                                                        final HttpClient wsHttpClient) throws InterruptedException {     f …
