id	workflow	list_key	file	line	severity	category	text	scenario
wf_25b7ecd7-e1a#a370160af115c5f83#findings#0	wf_25b7ecd7-e1a	findings	HARDENING_NOTES.md	1066	medium	doc-inaccuracy	The HTTP-body section's present-tense description still says the corpus has 14 seeds, but the same patch adds a 15th (gzip_folded_encoding) — and the patch edited that very sentence.	A maintainer reading the only live description of the httpBody corpus counts 14, runs `ls` and gets 15, and cannot tell whether a seed was added without a notes update or whether one is uncommitted/spurious — exactly the corpus-rot question the section exists to answer. The F02 relabel was applied to the sentence while the number it contains was left wrong by the same patch.
wf_25b7ecd7-e1a#a370160af115c5f83#findings#1	wf_25b7ecd7-e1a	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	29	low	doc-inaccuracy	The new F06 javadoc states the JDK 26/27 read-ahead condition as "the inflater holds leftover input"; the actual condition is leftover input greater than 26 bytes, and the difference is exactly the case the harness relies on available() for.	A maintainer trims FragmentedInputStream.available() (or replaces the stream with one whose available() returns 0) on the strength of this sentence, reasoning that the inflater always holds some leftover after a member so read-ahead happens anyway. On JDK 26/27 the concatenated-member modes then silently return only the first member and fuzzHttpBody/the seed replay fails with "stream route returned the wrong body in mode 2" — the exact regression the sentence was written to prevent.
wf_25b7ecd7-e1a#a370160af115c5f83#findings#2	wf_25b7ecd7-e1a	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	128	low	doc-inaccuracy	The new selector comment claims shapes 3 and 4 are the same two-coding list in two spellings, but it is placed above both switches and is false for the mode == 0 switch it sits directly on top of.	A reader trusts the comment and assumes the non-gzip branch also pairs a repeated-field-line shape against its folded twin, so they treat shape 3/shape 4 mode-0 coverage as already asserting fold-equivalence for non-gzip codings. It does not: nothing in the harness pairs a repeated non-gzip field-line shape against a folded one, so a regression that only affected multi-line non-gzip lists would go unobserved while the comment says otherwise.
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#0	wf_25b7ecd7-e1a	findings	HARDENING_NOTES.md	1066	medium	doc-inaccuracy	The httpBody seed count was left at 14 while the patch adds a 15th seed, and the same section now states 15 two paragraphs later.	A reader (or the next agent auditing the corpus) reads line 1066, expects 14 seeds, counts 15 on disk, and cannot tell whether an uncommitted seed leaked in or the note is stale — the same document asserts both 14 and 15 for the same corpus.
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#1	wf_25b7ecd7-e1a	findings	sava-rpc/src/test/java/software/sava/rpc/json/http/client/JsonHttpClientBodyFuzz.java	30	low	doc-inaccuracy	The restated available() rationale states the JDK 26/27 read-ahead gate as "the inflater holds leftover input" when the actual gate is more than 26 bytes of leftover input.	Exactly the body the patch's own new test builds is a counterexample: member + 10-byte bad-magic tail read through a 4096-byte buffer leaves `available() == 0` and `inf.getRemaining() == 18`, and JDK 26/27 do **not** read ahead, contradicting "or the inflater holds leftover input". Anyone reasoning from this sentence about why the concatenated-member mode is JDK-stable will conclude read-ahead happens whenever any bytes are buffered, which is false below 27 leftover bytes.
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#2	wf_25b7ecd7-e1a	findings	sava-rpc/src/main/java/software/sava/rpc/json/http/client/JsonHttpClient.java	171	low	behavior-change	The C01 fix also changes classification for lists where gzip is not the outermost coding, turning a previously pass-through body into an UncheckedIOException, and nothing pins that half.	A buffering CDN that re-encodes and sends `Content-Encoding: gzip, br` over a gzip-then-brotli body used to surface as a JSON parse error on the raw bytes; it now surfaces as `UncheckedIOException: ZipException: Not in GZIP format` from `readBody`. The change of failure mode is unpinned, so a later reviewer simplifying the loop back to "last coding wins" would break nothing in the suite.
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#3	wf_25b7ecd7-e1a	findings	HARDENING_NOTES.md	788	nit	doc-consistency	An earlier dated entry still says the fuzz workflow "now cover[s] eight targets", verbatim the sentence the patch's new entry replaces with nine.	F07 was raised because AGENTS.md:390 said "eight"; a reader grepping the repo for the target count after this patch still gets a present-tense "eight targets" from HARDENING_NOTES and a "nine targets" from AGENTS.md and the later notes entry. The dated-section convention makes line 788 defensible as history, which is why this is a nit rather than a defect.
wf_25b7ecd7-e1a#a1f52a820c1c7e6e1#findings#0	wf_25b7ecd7-e1a	findings	sava-rpc/src/main/java/software/sava/rpc/json/http/client/JsonHttpClient.java	171	low	resource-exhaustion	`header.split(",")` turns an untrusted, provider-sized Content-Encoding value into O(n) String allocations, in the one class that otherwise clamps every untrusted header before letting it size an allocation.	A compromised or buggy provider answers every RPC call with `Content-Encoding: ` followed by ~380 KB of `a,` pairs and a normal small body. Each readBody call now burns ~11 ms of CPU and churns ~13 MB of short-lived objects before deciding the body is not gzip; pre-patch the same header cost a length comparison. At even modest request concurrency that is a self-inflicted allocation storm from a header the client never had to parse token-by-token.
wf_25b7ecd7-e1a#a1f52a820c1c7e6e1#findings#1	wf_25b7ecd7-e1a	findings	sava-rpc/src/main/java/software/sava/rpc/json/http/client/JsonHttpClient.java	167	low	doc-inaccuracy	The javadoc's closing clause — "any other coding in the list is not decoded and is left for the inflater or the parser to reject" — is false for `identity`, which is the doc's own headline example and the patch's own passing test case.	A maintainer reading line 167 concludes that a folded list containing anything besides gzip is rejected, and either writes a test asserting `identity, gzip` fails or removes the folded-list handling as redundant. The sentence also gives no hint that `gzip, br` is now inflated in the wrong order and surfaces as a misleading gzip-format error.
wf_25b7ecd7-e1a#a1f52a820c1c7e6e1#findings#2	wf_25b7ecd7-e1a	findings	sava-rpc/src/main/java/software/sava/rpc/json/http/client/JsonHttpClient.java	172	low	rfc-conformance	The javadoc now grounds the matcher in RFC 9110 §8.4, but the token test still misses `x-gzip`, which RFC 9110 §8.4.1.3 says a recipient SHOULD treat as equivalent to `gzip`.	A caching proxy or an older origin (mod_gzip-era servers, some CDNs) labels a compressed JSON-RPC response `Content-Encoding: x-gzip`. readBody passes the gzip bytes through undecoded and the caller gets a JSON parse failure on binary data rather than a decoded response — with a javadoc that reads as if the RFC list semantics were fully implemented.
