row_id	label	notes	repo	member	comment	member_source
glam-sdk-java#sdk/src/main/java/systems/glam/sdk/GlamAccountClientImpl.java#GlamAccountClientImpl.adaptPermissions(GlamAccounts, PublicKey, int, long)	consistent	Comment's "Returns null for integration programs without an adapter" matches the final `} else { return null; }` after the four program equality branches.	glam-sdk-java	GlamAccountClientImpl.adaptPermissions(GlamAccounts, PublicKey, int, long)	Returns null for integration programs without an adapter (e.g. drift ACLs on accounts created before support was dropped) — callers skip them so a stale on-chain ACL cannot fail client construction.	  static ProtocolPermissions adaptPermissions(final GlamAccounts glamAccounts,                                               final PublicKey integrationProgram,                                               final int protocolBitFlag,                                               final long permissionMask) {     if (integrationProgram.equals(glamAccounts.mintProgram())) {       return Protocol.fromMintProtocolBitFlag(protocolBitFlag, permissionMask);     } else if (integrationProgram.equals(glamAccounts.protocolProgram())) {       return Protocol.fromGlamProtocolBitFlag(protocolBitFlag, permissionMask);     } else if (integrationProgram.equals(glamAccounts.splIntegrationProgram())) {       return Protocol.fromSplProtocolBitFlag(protocolBitFlag, permissionMask);     } else if (integrationProgram.equals(glamAccounts.kaminoIntegrationProgram())) {       return Protocol.fromKaminoProtocolBitFlag(protocolBitFlag, permissionMask);     } else {       return null;     }   }
glam-sdk-java#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.run()	consistent	Every tick claim checks out: `heartbeat.tick();` follows each `connection.commit()`, one follows `Thread.sleep(backoffDelay)` in the SQLException catch, and the idle path is `startWindow.awaitNanos(idleTickNanos)` then `if (pending.isEmpty()) { heartbeat.tick(); }`.	glam-sdk-java	BatchSqlExecutorImpl.run()	A cycle is one committed batch. The runner wakes with work (or finds a full batch already pending), waits out the batch window, then drains everything pending as batches of `batchSize` rows and ticks once after each batch's commit -- a drain of N batches ticks N times, so a producer that keeps the queue ahead of the runner keeps it ticking. A failed batch ticks once after its contained backoff: a runner that keeps failing and retrying is alive, one stuck in getConnection, executeBatch, commit or the backoff sleep is not. The runner only wakes when work is queued, so while idle it re-arms `idleTickNanos` at a time instead of parking indefinitely and ticks each time a window lapses with nothing queued: an idle executor is visibly alive, at the cost of one timed wake-up per window.	  @Override   public void run() {     try {       //noinspection unchecked       final T[] batch = (T[]) Array.newInstance(componentType, batchSize);       // batch[] is indexed by item, densely; numRows drives the executed       // threshold. Multi-row preparers must not leave gaps in batch[], or the       // failure requeue below would stop early and drop items from the retry.       int numItems = 0, numRows, numInserted;       for (long errorCount = 0, remainingNanos; ; ) {         if (pending.size() < batchSize) {           Arrays.fill(batch, null);           lock.lock();           try {             while (pending.isEmpty()) {               this.batchComplete = true;               this.batchCompleteCondition.signalAll();               startWindow.awaitNanos(idleTickNanos);               // queue() adds before it signals, so a wake-up that still finds nothing               // pending is a lapsed idle window (or a spurious wake-up), not work arriving.               if (pending.isEmpty()) {                 heartbeat.tick();               }             }             this.batchComplete = false;             for (remainingNanos = batchDelayNanos; pending.size() < batchSize && remainingNanos > 0; ) {               remainingNanos = batchLimit.awaitNanos(remainingNanos);             }           } finally {             lock.unlock();           }         }         try (final var connection = datasource.getConnection()) {           try (final var ps = connection.prepareStatement(statement)) {             for (numItems = 0, numRows = 0; ; ) {               final var item = pending.pollFirst();               if (item == null) {                 if (numItems > 0) {                   numInserted = batchExecutionCount(ps.executeBatch());                   connection.commit();                   logger.log(INFO,                       "Inserted {0} out of {1} {2} rows into {3}.",                       numInserted, numRows, componentType.getSimpleName(), table                   );                   numItems = 0;                   numRows = 0;                   // a committed batch ends the failure streak: the next failure backs off                   // from the first tier again, not from wherever the last outage left it                   errorCount = 0;                   // a committed batch is one cycle                   heartbeat.tick();                 }                 break;               }               batch[numItems++] = item;               numRows += statementPreparer.prepare(ps, item);               if (numRows >= batchSize || numItems == batch.length) {                 numInserted = batchExecutionCount(ps.executeBatch());                 connection.commit();                 logger.log(INFO,                     "Inserted {0} out of {1} {2} rows into {3}.",                     numInserted, numRows, componentType.getSimpleName(), table                 );                 numItems = 0;                 numRows = 0;                 errorCount = 0;                 heartbeat.tick();               }             }           }         } catch (final SQLException e) {           // every slot below numItems holds an item from the failed batch           for (int i = numItems - 1; i >= 0; --i) {             pending.addFirst(batch[i]);           }           // the batch is back in the queue and nothing is in flight: a retry that fails           // before it polls again (getConnection, prepareStatement) must not requeue these           // slots a second time -- or, once the fill/wait block has cleared them, push nulls           numItems = 0;           final var sqlState = e.getSQLState();           logger.log(ERROR, "Failed {0} times to write {1}: [ state => {2}, errorCode => {3}, cause => {4}, message => {5} ]",               ++errorCount, componentType.getSimpleName(), sqlState, e.getErrorCode(), e.getCause(), e.getMessage()           );           final long backoffDelay = backoff.delay(errorCount, TimeUnit.MILLISECONDS);           //noinspection BusyWait           Thread.sleep(backoffDelay);           // the failure was contained and its backoff slept through: a retrying runner is alive           heartbeat.tick();         }       }     } catch (final InterruptedException e) {       // exit     } catch (final RuntimeException ex) {       logger.log(ERROR, "Unexpected error executing batch.", ex);     }   }
glam-sdk-java#services/src/main/java/systems/glam/services/mints/StakePoolCache.java#StakePoolCache.initCache(ExecutorService, Path, StakePoolAccounts, MarinadeAccounts, Duration, RpcCaller, LoopHeartbeat)	not_checkable	Comment describes "once per cycle of run ... before the `fetchDelay` sleep", i.e. StakePoolCacheImpl.run(); this member only passes `heartbeat` into `new StakePoolCacheImpl(...)` and never ticks or sleeps.	glam-sdk-java	StakePoolCache.initCache(ExecutorService, Path, StakePoolAccounts, MarinadeAccounts, Duration, RpcCaller, LoopHeartbeat)	`heartbeat` ticks once per cycle of run: every configured stake-pool program fetched and indexed, before the `fetchDelay` sleep -- so an idle cache ticks once per delay and one stuck inside a program-accounts call goes quiet.	  static CompletableFuture<StakePoolCache> initCache(final ExecutorService taskExecutor,                                                      final Path stakePoolStateCacheDirectory,                                                      final StakePoolAccounts stakePoolAccounts,                                                      final MarinadeAccounts marinadeAccounts,                                                      final Duration fetchDelay,                                                      final RpcCaller rpcCaller,                                                      final LoopHeartbeat heartbeat) {     final var multiValidatorStakePoolProgram = stakePoolAccounts.stakePoolProgram(); //    final var singleValidatorStakePoolProgram = stakePoolAccounts.singleValidatorStakePoolProgram();     final var sanctumMultiValidatorStakePoolProgram = stakePoolAccounts.sanctumMultiValidatorStakePoolProgram();     final var sanctumSingleValidatorStakePoolProgram = stakePoolAccounts.sanctumSingleValidatorStakePoolProgram();     final var stakePoolFilters = List.of(         Filter.createMemCompFilter(0, new byte[]{(byte) AccountType.StakePool.ordinal()})     );     return CompletableFuture.supplyAsync(() -> {           try {             Files.createDirectories(stakePoolStateCacheDirectory);             final var stakePoolFileChannelByProgram = Map.of(                 multiValidatorStakePoolProgram, createFlatFile(stakePoolStateCacheDirectory, multiValidatorStakePoolProgram), //                singleValidatorStakePoolProgram, createFlatFile(stakePoolStateCacheDirectory, singleValidatorStakePoolProgram),                 sanctumMultiValidatorStakePoolProgram, createFlatFile(stakePoolStateCacheDirectory, sanctumMultiValidatorStakePoolProgram),                 sanctumSingleValidatorStakePoolProgram, createFlatFile(stakePoolStateCacheDirectory, sanctumSingleValidatorStakePoolProgram)             );             final var stakePoolContextByMint = new ConcurrentHashMap<PublicKey, StakePoolContext>();             final var marinadeContext = new StakePoolContext(                 marinadeAccounts.marinadeProgram(),                 AccountMeta.createRead(marinadeAccounts.stateAccount()),                 AccountMeta.createRead(marinadeAccounts.mSolTokenMint())             );             stakePoolContextByMint.put(marinadeContext.mintKey(), marinadeContext);             final var stakePoolCache = new StakePoolCacheImpl(                 fetchDelay,                 rpcCaller,                 stakePoolFilters,                 stakePoolFileChannelByProgram,                 stakePoolContextByMint,                 heartbeat             );              for (final var entry : stakePoolFileChannelByProgram.entrySet()) {               final var stakePoolProgram = entry.getKey();               final var stakePoolFileChannel = entry.getValue();               final byte[] data = Files.readAllBytes(stakePoolFileChannel.filePath());               if (data.length == 0) {                 final var stateAccounts = stakePoolCache.fetchStateAccounts(stakePoolProgram);                 byte[] flatFileData = new byte[stateAccounts.size() * StakePoolContext.BYTES];                 int i = 0;                 for (final var accountInfo : stateAccounts) {                   final int length = accountInfo.data().length;                   if (length < StakePoolState.NEXT_EPOCH_FEE_OFFSET) {                     continue;                   }                   final var stakePoolContext = StakePoolContext.read(accountInfo);                   stakePoolContextByMint.put(stakePoolContext.mintKey(), stakePoolContext);                   i += stakePoolContext.write(flatFileData, i);                 }                 if (i > 0) {                   if (i < flatFileData.length) {                     flatFileData = Arrays.copyOfRange(flatFileData, 0, i);                   }                   stakePoolFileChannel.overwriteFile(flatFileData);                 }               } else {                 for (int i = 0; i < data.length; i += StakePoolContext.BYTES) {                   final var stakePoolContext = StakePoolContext.read(stakePoolProgram, data, i);                   stakePoolContextByMint.put(stakePoolContext.mintKey(), stakePoolContext);                 }               }             }              return stakePoolCache;           } catch (final IOException ex) {             throw new UncheckedIOException(ex);           }         }, taskExecutor     );   }
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.IDLE_TICK_FLOOR_NANOS	not_checkable	The declaration is only `static final long IDLE_TICK_FLOOR_NANOS = TimeUnit.MILLISECONDS.toNanos(100);`; the comment's claims about re-arming the poll delay and spinning the idle park live entirely in the code that reads the constant.	glam-sdk-java	AccountFetcherImpl.IDLE_TICK_FLOOR_NANOS	An idle reactive fetcher re-arms its poll delay as the heartbeat period; below this floor the delay is a batching hint (reactive fetchers accept zero), not a pacing interval, and re-arming it would spin the idle park.	  static final long IDLE_TICK_FLOOR_NANOS = TimeUnit.MILLISECONDS.toNanos(100);
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.dispatch(AccountConsumer, List<AccountInfo<byte[]>>, Map<PublicKey, AccountInfo<byte[]>>)	consistent	"A consumer's failure is its own: log it and keep polling" matches `catch (final RuntimeException ex) { logger.log(ERROR, "Account consumer failed; continuing to poll.", ex); }` swallowing the throw.	glam-sdk-java	AccountFetcherImpl.dispatch(AccountConsumer, List<AccountInfo<byte[]>>, Map<PublicKey, AccountInfo<byte[]>>)	Consumer callbacks run on the polling thread inside run()'s try, so an unguarded throw would exit the loop and silently stop account fetching for every service sharing this fetcher. A consumer's failure is its own: log it and keep polling.	  private static void dispatch(final AccountConsumer accountConsumer,                                final List<AccountInfo<byte[]>> accounts,                                final Map<PublicKey, AccountInfo<byte[]>> accountsMap) {     try {       accountConsumer.accept(accounts, accountsMap);     } catch (final RuntimeException ex) {       logger.log(ERROR, "Account consumer failed; continuing to poll.", ex);     }   }
glam-sdk-java#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java#AccountFetcherImpl.failCurrentBatches(RuntimeException)	consistent	Code does exactly what the comment says: `future.completeExceptionally(cause)` for CompletableAccountBatch, `requeue.add(accountBatch)` otherwise, and the `queue(false, accountBatch)` loop runs after `currentBatch.clear(); ... clearBatch();`.	glam-sdk-java	AccountFetcherImpl.failCurrentBatches(RuntimeException)	Drains the in-flight batches after a failed cycle so no caller is left waiting on a future this thread will never complete: a completable batch fails exceptionally -- its caller has an error channel -- while callback batches, which have none, are re-queued for the next cycle rather than silently dropped (a unique consumer keeps its pending claim: it is still pending). The failure was the cycle's, never a batch's -- per-batch dispatch is guarded -- so a re-queued batch cannot re-poison.	  void failCurrentBatches(final RuntimeException cause) {     final List<AccountBatch> failedBatches;     lock.lock();     try {       failedBatches = List.copyOf(currentBatch);       currentBatch.clear();       this.currentBatchKeys = this.alwaysFetch;       clearBatch();     } finally {       lock.unlock();     }      final var requeue = new ArrayList<AccountBatch>();     for (final var accountBatch : failedBatches) {       if (accountBatch instanceof CompletableAccountBatch(_, final CompletableFuture<AccountResult> future)) {         future.completeExceptionally(cause);       } else {         requeue.add(accountBatch);       }     }     // After the reset, so a re-queued batch cannot land back in the drained     // currentBatch through the containsAll fast path.     for (final var accountBatch : requeue) {       queue(false, accountBatch);     }   }
glam-sdk-java#services/src/main/java/systems/glam/services/state/GlobalConfigCacheImpl.java#GlobalConfigCacheImpl.run()	consistent	`heartbeat.tick();` sits after the await loop and `writeLock.unlock()`, the `forceRefresh` break cuts the window short, and the invalidation path `if (this.globalConfigUpdate == null || this.assetMetaMap == null) { return; }` exits before any tick.	glam-sdk-java	GlobalConfigCacheImpl.run()	A cycle is one refresh queued to the account fetcher followed by its delay window, which a forced refresh may cut short. The heartbeat ticks after the wait, so an idle loop ticks once per `fetchDelay` while one parked on the write lock -- held by an `accept` whose listener never returns -- or inside the fetcher's queue lock goes quiet. The invalidation return leaves without a tick: that is an exit, not a cycle.	  @Override   public void run() {     try {       for (long remainingNanos; ; ) {         accountFetcher.priorityQueue(globalConfigKey, this);         writeLock.lock();         try {           forceRefresh = false;           for (remainingNanos = fetchDelayNanos; ; ) {             remainingNanos = invalidGlobalConfig.awaitNanos(remainingNanos);             if (this.globalConfigUpdate == null || this.assetMetaMap == null) {               return;             } else if (remainingNanos <= 0 || forceRefresh) {               break;             }           }         } finally {           writeLock.unlock();         }         heartbeat.tick();       }     } catch (final InterruptedException e) {       // exit     } catch (final Exception e) {       logger.log(ERROR, "Error queuing global config fetch", e);     }   }
http-servers#http-servers-core/src/main/java/software/sava/http_servers/core/handlers/HandlerUtil.java#HandlerUtil.parseRawParam(String, int, String)	consistent	`final int from = index + param.length();` with `to = query.indexOf('&', from)` and `to < 0 ? query.substring(from) : query.substring(from, to)` is exactly "from the end of param to the next '&' or the end of the query", returned still-encoded.	http-servers	HandlerUtil.parseRawParam(String, int, String)	The raw, still-encoded value: from the end of {@code param} to the next {@code '&'} or the end of the query.	  static String parseRawParam(final String query, final int index, final String param) {     final int from = index + param.length();     final int to = query.indexOf('&', from);     return to < 0         ? query.substring(from)         : query.substring(from, to);   }
http-servers#http-servers-jetty/src/main/java/software/sava/http_servers/jetty/JettyServerBuilder.java#JettyServerBuilder.maxThreads(int, int)	consistent	"raised to one thread beyond those leases when it would not clear them" matches `return Math.max(availableProcessors, leasedThreads + 1);`; the processor-count range depends on the caller's leasedThreads and is not settled here.	http-servers	JettyServerBuilder.maxThreads(int, int)	Jetty refuses to start a connector ("Insufficient configured threads") unless the pool's maximum exceeds the threads its components lease, so a pool of one platform thread per processor is raised to one thread beyond those leases when it would not clear them — which happens on one to three processors, never on a larger host.	  static int maxThreads(final int availableProcessors, final int leasedThreads) {     return Math.max(availableProcessors, leasedThreads + 1);   }
http-servers#http-servers-netty/src/main/java/software/sava/http_servers/netty/NettyController.java#NettyController.invoke(ChannelHandlerContext, NettyRequest, NettyHandler)	not_checkable	The body only does `handler.handle(request)` / `ctx.writeAndFlush(response)` with a RuntimeException fallback; whether it runs on the event loop or an executor is decided by the caller that dispatches to it.	http-servers	NettyController.invoke(ChannelHandlerContext, NettyRequest, NettyHandler)	Runs on the event loop for a non-blocking route and on the executor for a blocking one.	  private void invoke(final ChannelHandlerContext ctx, final NettyRequest request, final NettyHandler handler) {     FullHttpResponse response;     try {       response = ResponseUtil.response(handler.handle(request), request.header("Origin"));     } catch (final RuntimeException e) {       // an unanswered request would hang the client, and everything queued behind it       logger.log(ERROR, "Failed to process request.", e);       response = serverError();     }     ctx.writeAndFlush(response);   }
