row_id	label	reader_a	reader_b	adjudicated	reason
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.checkCycle(long)	unaffected	unaffected	unaffected	no	Body extracted to a helper; one wait-and-check cycle, package-private access, and the never-parks-on-nonpositive-await claim all still hold.
json-iterator#db15a1b#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readIntArray()	unaffected	unaffected	unaffected	no	Delegation to readIntArray(8) keeps reading numbers into int[] and null-as-empty; change adds or removes nothing the comment describes.
glam-sdk-java#bb830ff#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java#BatchSqlExecutorImpl.run()	unaffected	unaffected	unaffected	no	Comment describes cycles, ticks and a contained backoff; the added errorCount reset changes backoff tiering, which the comment never describes.
json-iterator#db15a1b#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readByteArray()	unaffected	unaffected	unaffected	no	Delegation to readByteArray(8) preserves int-narrowing, truncation and null-as-empty claims; nothing the comment describes is added or removed.
http-servers#430e6d0#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java#SvmExactSettler.settle(PaymentPayload, PaymentRequirements)	unaffected	unaffected	unaffected	no	Verify, co-sign, submit and confirm all still happen in that order; reordered decode and null payer sit below the comment's detail.
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.sign(Signer, byte[])	unaffected	unaffected	unaffected	no	Implementation consolidated into BaseTransaction.signInOrder with a single-signer flag; no evidence the legacy/v0 count rule or v1 boundary check changed.
sava#a44220f#sava-core/src/main/java/software/sava/core/tx/TransactionSkeleton.java#TransactionSkeleton.deserializeSkeleton(byte[])	unaffected	unaffected	unaffected	no	Sort hoisted so invoked marking now holds for zero lookup tables and data ending after instructions; every comment claim is true of new_source.
json-iterator#d6e00fa#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java#BytesJsonIterator.widenToCharBuf(int)	unaffected	unaffected	unaffected	no	Comment only claims the copy of [head,to) into charBuf with widening; the growth clamp is not something it describes.
sava#442addf#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.signInOrder(SequencedCollection<Signer>, byte[])	unaffected	unaffected	unaffected	no	Delegation target swapped only; iteration-order signing across legacy/v0/v1 and first-signer-first-slot claims remain true of new_source.
sava#52dce85#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaRpcWebsocket.java#SolanaRpcWebsocket.lastMessageReceivedTimestamp()	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	New default body always returns 0, so it no longer reports when a message was received nor means none was received.
sava#dabfe20#sava-core/src/main/java/software/sava/core/tx/Transaction.java#Transaction.setPriorityFeeLamportsFromComputeUnitPrice(long)	contradicted_by_change	contradicted_by_change	contradicted_by_change	no	Comment describes converting the price, setting the fee and returning a transaction; new default only throws UnsupportedOperationException.
sava#b24a296#sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java#SolanaJsonRpcWebsocket.prepareCheckCycleDelivery(long)	unaffected	unaffected	unaffected	no	Switch expression rewritten as equivalent if/else; escalation handling and the null return for healthy cycles are unchanged.
json-iterator#8fc0f60#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java#JsonIterator.readMap(M, CharBufferFunction<K>, BiFunction<K, JsonIterator, V>)	unaffected	unaffected	unaffected	no	Change is pure reindentation of the lambda; key parsing, put semantics and null/duplicate behaviour are identical.
incident-client#0c778ee#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java#JsonUtil.escapeJson(String)	unaffected	unaffected	unaffected	no	Escaping now delegates to JIUtil.escapeJson; null still returns empty string, and no described escaping behaviour is added or removed.
