pair_id	label	needed_source	notes	workflow	basename	line_a	line_b	text_a	scenario_a	text_b	scenario_b
wf_25b7ecd7-e1a#a370160af115c5f83#findings#0 | wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#0				wf_25b7ecd7-e1a	HARDENING_NOTES.md	1066	1066	The HTTP-body section's present-tense description still says the corpus has 14 seeds, but the same patch adds a 15th (gzip_folded_encoding) — and the patch edited that very sentence.	A maintainer reading the only live description of the httpBody corpus counts 14, runs `ls` and gets 15, and cannot tell whether a seed was added without a notes update or whether one is uncommitted/spurious — exactly the corpus-rot question the section exists to answer. The F02 relabel was applied to the sentence while the number it contains was left wrong by the same patch.	The httpBody seed count was left at 14 while the patch adds a 15th seed, and the same section now states 15 two paragraphs later.	A reader (or the next agent auditing the corpus) reads line 1066, expects 14 seeds, counts 15 on disk, and cannot tell whether an uncommitted seed leaked in or the note is stale — the same document asserts both 14 and 15 for the same corpus.
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#1 | wf_25b7ecd7-e1a#a7e5c015462665642#findings#0				wf_25b7ecd7-e1a	JsonHttpClientBodyFuzz.java	30	30	The restated available() rationale states the JDK 26/27 read-ahead gate as "the inflater holds leftover input" when the actual gate is more than 26 bytes of leftover input.	Exactly the body the patch's own new test builds is a counterexample: member + 10-byte bad-magic tail read through a 4096-byte buffer leaves `available() == 0` and `inf.getRemaining() == 18`, and JDK 26/27 do **not** read ahead, contradicting "or the inflater holds leftover input". Anyone reasoning from this sentence about why the concatenated-member mode is JDK-stable will conclude read-ahead happens whenever any bytes are buffered, which is false below 27 leftover bytes.	The F06 rationale states the JDK 26/27 read-ahead gate as "the source reports more bytes or the inflater holds leftover input", but the real gate is `this.in.available() > 0 || n > 26`; leftover input alone is not enough, and the 26-byte threshold is what actually forces the harness's available() to be honest.	A maintainer reads this javadoc and concludes that FragmentedInputStream.available() only has to be non-zero-ish, or that a pessimistic available() is safe whenever the inflater still holds bytes. They replace the honest delegate with a conservative `return 0;` (a realistic "model a network stream" change) and the concatenated-member mode (mode 2) silently stops round-tripping on JDK 26/27 for every input whose inflater leftover lands at 26 bytes or fewer -- readBody returns only the first member and `check` fails with "returned the wrong body in mode 2", or, worse in a differential sense, the harness quietly stops covering the second member. The sentence as written gives no way to predict the buf=30 case above.
wf_25b7ecd7-e1a#acc4f0cb05ffaabbe#findings#2 | wf_25b7ecd7-e1a#a1f52a820c1c7e6e1#findings#0				wf_25b7ecd7-e1a	JsonHttpClient.java	171	171	The C01 fix also changes classification for lists where gzip is not the outermost coding, turning a previously pass-through body into an UncheckedIOException, and nothing pins that half.	A buffering CDN that re-encodes and sends `Content-Encoding: gzip, br` over a gzip-then-brotli body used to surface as a JSON parse error on the raw bytes; it now surfaces as `UncheckedIOException: ZipException: Not in GZIP format` from `readBody`. The change of failure mode is unpinned, so a later reviewer simplifying the loop back to "last coding wins" would break nothing in the suite.	`header.split(",")` turns an untrusted, provider-sized Content-Encoding value into O(n) String allocations, in the one class that otherwise clamps every untrusted header before letting it size an allocation.	A compromised or buggy provider answers every RPC call with `Content-Encoding: ` followed by ~380 KB of `a,` pairs and a normal small body. Each readBody call now burns ~11 ms of CPU and churns ~13 MB of short-lived objects before deciding the body is not gzip; pre-patch the same header cost a length comparison. At even modest request concurrency that is a self-inflicted allocation storm from a header the client never had to parse token-by-token.
wf_b1cb3341-11b#a997d4ef830e78804#findings#1 | wf_b1cb3341-11b#ace24045ffa9b07d8#findings#0				wf_b1cb3341-11b	JsonHttpClientBodyFuzz.java	28	28	The harness javadoc's claim that the stream's accurate available() is what "lets the JDK gzip reader discover a following concatenated member" describes pre-JDK-25 behaviour; on JDK 25 nothing in the read path ever calls the source stream's available().	Not a test failure: FragmentedInputStream.available() (line 225) is dead weight that the javadoc presents as load-bearing. A maintainer trimming the harness keeps a no-op override, or concludes that concatenated-member coverage is a property of the harness's stream model when it is the JDK's unconditional retry; anyone chasing a future concat regression on this evidence is looking at the wrong lever.	The harness javadoc credits accurate `available()` reporting with letting the JDK gzip reader discover a concatenated member, but JDK 25's GZIPInputStream.readTrailer never calls `available()` at all, so the claim is false and the `FragmentedInputStream.available()` override it justifies (line 225) is dead code on every JDK this project targets.	A reader extending this target — e.g. adding a mode that models a real HttpResponseInputStream, or reusing FragmentedInputStream elsewhere — reads line 28 and concludes that accurate `available()` is load-bearing for mode 2's concatenated-gzip round-trip property, and either preserves an override the code under test never calls or, worse, concludes that the round-trip property is an artefact of the model and does not hold for network bodies. Both conclusions are wrong on JDK 25/26: concatenated-member discovery is unconditional there. The README repeats the same framing at sava-rpc/src/test/resources/fuzz/README.md:32.
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#0 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#0				wf_e8f1fc4b-1cd	HARDENING_NOTES.md	46	46	The record's closing sentence claims the on-disk certification and fuzz receipts belong to this adoption's commit, but no certification or fuzz campaign was run and every receipt on disk was produced on 2026-09-05 under sava-build 21.5.32. It drops the one word the 21.5.32 precedent used to keep exactly this claim honest.		The entry's closing sentence — "The certification and fuzz receipts under `.pitest-history/` record their own outcomes against the commit that carries this entry" — asserts something that is not true and reads as if 21.5.35 certification/fuzz evidence exists. No certification or fuzz run happened under 21.5.35; the receipts on disk are the 21.5.32 ones, unchanged.	
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#0 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#0				wf_e8f1fc4b-1cd	HARDENING_NOTES.md	46	46	The record's closing sentence claims the on-disk certification and fuzz receipts belong to this adoption's commit, but no certification or fuzz campaign was run and every receipt on disk was produced on 2026-09-05 under sava-build 21.5.32. It drops the one word the 21.5.32 precedent used to keep exactly this claim honest.		"The certification and fuzz receipts under `.pitest-history/` record their own outcomes against the commit that carries this entry." Stated in the present tense, this is false: the only receipts on disk are the 21.5.32 ones, they were produced against a commit that is not even an ancestor of HEAD, and `.pitest-history/` is gitignored so no commit can ever carry them.	
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#1 | wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#3				wf_e8f1fc4b-1cd	HARDENING_NOTES.md	31	31	The "What moved between 21.5.32 and 21.5.35" paragraph is a field-level copy of installed plugin task behavior — receipt schema row names with their column contents, and a task flag — which the digest-pinned template bullet tells consumer notes to replace with a hardeningHelp pointer. It has no counterpart in the 21.5.32 precedent, and it is what makes this "concise" record longer (36 lines) than its predecessor (24 lines) while covering strictly less local work (no rebases, no row census, no mutant census, no certification).		The "What moved between 21.5.32 and 21.5.35, as it reaches this repo" list reads as an enumeration but omits two behavior changes in that range that do reach a consumer.	
wf_e8f1fc4b-1cd#a0ce90b4feab40530#findings#1 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#2				wf_e8f1fc4b-1cd	HARDENING_NOTES.md	31	31	The "What moved between 21.5.32 and 21.5.35" paragraph is a field-level copy of installed plugin task behavior — receipt schema row names with their column contents, and a task flag — which the digest-pinned template bullet tells consumer notes to replace with a hardeningHelp pointer. It has no counterpart in the 21.5.32 precedent, and it is what makes this "concise" record longer (36 lines) than its predecessor (24 lines) while covering strictly less local work (no rebases, no row census, no mutant census, no certification).		"What moved between 21.5.32 and 21.5.35, as it reaches this repo: ..." reads as an enumeration but omits at least three consumer-visible changes documented in the same HARDENING.md diff, including one that changes what the plugin prints after every `pitest<Suite>` run.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#0 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#0				wf_e8f1fc4b-1cd	HARDENING_NOTES.md	46	46	The entry's closing sentence — "The certification and fuzz receipts under `.pitest-history/` record their own outcomes against the commit that carries this entry" — asserts something that is not true and reads as if 21.5.35 certification/fuzz evidence exists. No certification or fuzz run happened under 21.5.35; the receipts on disk are the 21.5.32 ones, unchanged.		"The certification and fuzz receipts under `.pitest-history/` record their own outcomes against the commit that carries this entry." Stated in the present tense, this is false: the only receipts on disk are the 21.5.32 ones, they were produced against a commit that is not even an ancestor of HEAD, and `.pitest-history/` is gitignored so no commit can ever carry them.	
wf_e8f1fc4b-1cd#a6a9698b9df74bacc#findings#3 | wf_e8f1fc4b-1cd#aba46b2a45643c971#findings#2				wf_e8f1fc4b-1cd	HARDENING_NOTES.md	31	31	The "What moved between 21.5.32 and 21.5.35, as it reaches this repo" list reads as an enumeration but omits two behavior changes in that range that do reach a consumer.		"What moved between 21.5.32 and 21.5.35, as it reaches this repo: ..." reads as an enumeration but omits at least three consumer-visible changes documented in the same HARDENING.md diff, including one that changes what the plugin prints after every `pitest<Suite>` run.	
